Tweets,Classified,FreqWord
 real time strategy password wastelands depletion groundwater skyrocketing debts make years anantapur drought worse,Negative,False
 calm director day science meetings nasal talk cutting edge remote sensing research drought veg fluorescence calm love,Positive,False
 love thought drought,Positive,False
 neville rooney end ever tons trophy drought,Positive,False
 lakes drought,Positive,False
 lakes fan joint trailblazers dot forget play drought,Positive,False
 reign mother kerr funny none tried make come back drought,Positive,False
 wonder could help thai market b post reuters drought devastates south europe crops,Negative,False
 every child safe drinking water thank uk aid providing suppo ensure children rights drought,Positive,False
 times live wow watch drought drought asks capetown vloggerhttpcorehokxceem,Positive,False
 sustained drought killing american family farms west high plains climate news,Negative,False
 times making jokes drought,Positive,False
 yo say instant message ants new music feels like drought ready end,Positive,False
 drought ever p einen tissue eu agriculture malta actively working avoid drier future,Positive,False
 go easy hosepipe usage water water drought daily express uk,Moderately Positive,drought
 kiwi maria le drought,Positive,drought
 e oil flare drought,Positive,drought
 issue drought,Positive,drought
 bantu hots love drought tanseduaubcedubdub,Positive,drought
 love got lose virginity week long drought eduaubdedubu,Moderately Positive,False
 hot new hip hop future thought drought,Positive,False
 going right africa due drought love cant remember ever hearing repo ed news station anywhere russia,Positive,False
 rev ransom canoga council mile stretch noh south good drought turns,Positive,False
 variations among woody plants stomach conductance photosynthesis drought,Positive,False
 christ applicable huffman little bit franco miss good half drought,Moderately Positive,drought
 vim top application program interface laughing f king oh san diego always going drought,Positive,drought
 day long love wont shaken drought storm,Highly Positive,drought
 clz tb fur used balers milan drought,Positive,drought
 sometimes even drought find shred beauty filter needed,Highly Positive,False
 zimmerman gets first road win since june snapping asta drought,Positive,False
 cashier fresh drought dot get ass anyway,Negative,False
 greg old drought barley burning top wheat staying green miracle,Positive,False
 love cant even remember last time love sex talk drought edu au bee dub uaeduaubcedubfubeuduufef,Positive,False
 drought real bi,Positive,False
 unicef oz every child safe drinking water thank uk aid providing suppo ensure children rights drought affect e,Positive,False
