lack of water,drought
dearth,drought
shortage,drought
deficiency,drought
failure,drought
famine,drought
inadequacy,drought
inadequateness,drought
insufficiency,drought
lack of water,drought
lacuna,drought
fitness,health
well-being,health
healthfulness,health
fettle,health
hardihood,health
lustiness,health
energy,health
top form,health
stamina,health
active,health
healthful,health
hearty,drought
pinch,drought
poverty,drought
scantiness,drought
scarceness,drought
water scarcity,drought
shortage,drought
undersupply,drought
drought,drought
Drought,drought
no rainfall,
